disease,drug,phase,status,target,num_ev_strings
pain,ACETAMINOPHEN,4,n/a,PTGS2,471
pain,IBUPROFEN,4,n/a,PTGS2,199
osteoarthritis,NAPROXEN,4,n/a,PTGS2,176
osteoarthritis,IBUPROFEN,4,n/a,PTGS2,164
rheumatoid arthritis,IBUPROFEN,4,n/a,PTGS2,164
osteoarthritis,DICLOFENAC,4,n/a,PTGS2,132
rheumatoid arthritis,NAPROXEN,4,n/a,PTGS2,128
gout,NAPROXEN,4,n/a,PTGS2,122
juvenile idiopathic arthritis,NAPROXEN,4,n/a,PTGS2,116
dysmenorrhea,IBUPROFEN,4,n/a,PTGS2,114
migraine disorder,ACETAMINOPHEN,4,n/a,PTGS2,97
osteoarthritis,MELOXICAM,4,n/a,PTGS2,91
rheumatoid arthritis,MELOXICAM,4,n/a,PTGS2,89
gout,INDOMETHACIN,4,n/a,PTGS2,74
ankylosing spondylitis,INDOMETHACIN,4,n/a,PTGS2,74
osteoarthritis,INDOMETHACIN,4,n/a,PTGS2,74
pain,ACETAMINOPHEN,4,Completed,PTGS2,59
pain,KETOROLAC,4,n/a,PTGS2,54
juvenile idiopathic arthritis,CELECOXIB,4,n/a,PTGS2,50
rheumatoid arthritis,CELECOXIB,4,n/a,PTGS2,43
osteoarthritis,CELECOXIB,4,n/a,PTGS2,43
ankylosing spondylitis,CELECOXIB,4,n/a,PTGS2,43
pain,CELECOXIB,4,n/a,PTGS2,43
dysmenorrhea,NAPROXEN,4,n/a,PTGS2,42
pain,ACETAMINOPHEN,3,Completed,PTGS2,37
ulcerative colitis,MESALAMINE,4,n/a,PTGS2,32
pain,NAPROXEN,4,n/a,PTGS2,32
ulcerative colitis,MESALAMINE,3,Completed,PTGS2,32
migraine disorder,ASPIRIN,4,n/a,PTGS2,32
pain,DICLOFENAC,4,n/a,PTGS2,28
pain,IBUPROFEN,4,Completed,PTGS2,28
pain,IBUPROFEN,3,Completed,PTGS2,27
pain,KETOROLAC,4,Completed,PTGS2,22
coronary artery disease,ASPIRIN,4,Completed,PTGS2,21
rheumatoid arthritis,DICLOFENAC,4,n/a,PTGS2,20
osteoarthritis,DICLOFENAC,3,Completed,PTGS2,17
pain,ACETAMINOPHEN,2,Completed,PTGS2,17
hemorrhage,DICLOFENAC,4,n/a,PTGS2,16
pain,IBUPROFEN,2,Completed,PTGS2,15
osteoarthritis,CELECOXIB,3,Completed,PTGS2,15
pain,DICLOFENAC,3,Completed,PTGS2,15
migraine disorder,NAPROXEN,3,Completed,PTGS2,15
inflammation,KETOROLAC,4,n/a,PTGS2,14
pain,ASPIRIN,4,n/a,PTGS2,13
pain,ACETAMINOPHEN,4,Unknown status,PTGS2,11
osteoarthritis,CELECOXIB,4,Completed,PTGS2,11
pain,KETOROLAC,3,Completed,PTGS2,10
osteoarthritis,NAPROXEN,3,Completed,PTGS2,10
pain,ACETAMINOPHEN,1,Completed,PTGS2,9
pain,KETOPROFEN,3,Completed,PTGS2,9
pain,CELECOXIB,2,Completed,PTGS2,9
migraine disorder,NAPROXEN,4,Completed,PTGS2,9
pain,ACETAMINOPHEN,4,Recruiting,PTGS2,9
cataract,KETOROLAC,4,Completed,PTGS2,9
osteoarthritis,NAPROXEN,1,Completed,PTGS2,8
pain,ACETAMINOPHEN,4,Terminated,PTGS2,8
pain,NAPROXEN,3,Completed,PTGS2,8
osteoarthritis,LUMIRACOXIB,3,Completed,PTGS2,8
coronary artery disease,ASPIRIN,3,Completed,PTGS2,8
pain,ETORICOXIB,3,Completed,PTGS2,7
juvenile idiopathic arthritis,IBUPROFEN,4,n/a,PTGS2,7
lung carcinoma,CELECOXIB,2,Completed,PTGS2,7
pain,ETORICOXIB,4,Completed,PTGS2,7
pain,KETOROLAC,2,Completed,PTGS2,7
osteoarthritis,NAPROXEN,2,Completed,PTGS2,7
pain,VALDECOXIB,3,Completed,PTGS2,6
osteoarthritis,ETORICOXIB,3,Completed,PTGS2,6
pain,DEXKETOPROFEN,4,Completed,PTGS2,6
breast carcinoma,CELECOXIB,2,Completed,PTGS2,6
pain,IBUPROFEN,4,Recruiting,PTGS2,6
colorectal carcinoma,CELECOXIB,2,Completed,PTGS2,6
pain,DICLOFENAC,2,Completed,PTGS2,6
osteoarthritis,DICLOFENAC,4,Completed,PTGS2,6
pain,DICLOFENAC,1,Completed,PTGS2,6
coronary artery disease,ASPIRIN,4,Unknown status,PTGS2,6
osteoarthritis,ACETAMINOPHEN,4,Completed,PTGS2,6
ulcerative colitis,MESALAMINE,4,Completed,PTGS2,6
pain,ACETAMINOPHEN,2,Recruiting,PTGS2,6
cataract,BROMFENAC,4,Completed,PTGS2,6
rheumatoid arthritis,SULFASALAZINE,3,Completed,PTGS2,6
fever,ACETAMINOPHEN,4,Completed,PTGS2,6
stroke,ASPIRIN,3,Completed,PTGS2,5
pain,DICLOFENAC,4,Completed,PTGS2,5
cataract,NEPAFENAC,3,Completed,PTGS2,5
pain,DICLOFENAC,3,Unknown status,PTGS2,5
fever,ACETAMINOPHEN,3,Completed,PTGS2,5
acute coronary syndrome,ASPIRIN,4,Completed,PTGS2,5
pain,ROFECOXIB,3,Completed,PTGS2,5
breast carcinoma,CELECOXIB,2,Terminated,PTGS2,5
pain,PARECOXIB,4,Completed,PTGS2,5
sprain,DICLOFENAC,3,Completed,PTGS2,5
pain,NAPROXEN,1,Completed,PTGS2,5
osteoarthritis,ACETAMINOPHEN,3,Completed,PTGS2,5
lung carcinoma,CELECOXIB,1,Completed,PTGS2,5
pain,KETOPROFEN,4,n/a,PTGS2,5
pain,IBUPROFEN,1,Completed,PTGS2,5
pain,CELECOXIB,3,Completed,PTGS2,5
head and neck malignant neoplasia,CELECOXIB,2,Completed,PTGS2,4
cataract,NEPAFENAC,4,Completed,PTGS2,4
Tuberculosis,AMINOSALICYLIC ACID,4,n/a,PTGS2,4
rheumatoid arthritis,SULFASALAZINE,4,Completed,PTGS2,4
pulpitis,KETOROLAC,2,Completed,PTGS2,4
pain,CELECOXIB,4,Completed,PTGS2,4
actinic keratosis,DICLOFENAC,4,Completed,PTGS2,4
actinic keratosis,DICLOFENAC,3,Completed,PTGS2,4
Patent ductus arteriosus,IBUPROFEN,3,Completed,PTGS2,4
irritable bowel syndrome,MESALAMINE,2,Completed,PTGS2,4
ulcerative colitis,MESALAMINE,3,Recruiting,PTGS2,4
multiple myeloma,ASPIRIN,1,Completed,PTGS2,4
fever,IBUPROFEN,4,Completed,PTGS2,4
fever,IBUPROFEN,3,Completed,PTGS2,4
inflammation,NEPAFENAC,4,n/a,PTGS2,4
osteoarthritis,IBUPROFEN,4,Completed,PTGS2,4
pain,NAPROXEN,2,Completed,PTGS2,4
migraine disorder,NAPROXEN,4,n/a,PTGS2,4
pain,NAPROXEN,4,Completed,PTGS2,4
atrial fibrillation,ASPIRIN,3,Completed,PTGS2,4
osteoarthritis,MELOXICAM,4,Completed,PTGS2,4
stroke,ASPIRIN,4,Completed,PTGS2,4
rheumatoid arthritis,NAPROXEN,4,Completed,PTGS2,4
osteoarthritis,DICLOFENAC,2,Completed,PTGS2,4
stroke,ASPIRIN,4,n/a,PTGS2,4
Crohn's disease,MESALAMINE,3,Completed,PTGS2,4
pain,ACETAMINOPHEN,4,Not yet recruiting,PTGS2,4
osteoarthritis,MELOXICAM,3,Completed,PTGS2,4
brain infarction,ASPIRIN,4,Completed,PTGS2,4
pain,DEXKETOPROFEN,4,Unknown status,PTGS2,4
breast carcinoma,CELECOXIB,1,Completed,PTGS2,4
esophageal carcinoma,CELECOXIB,2,Completed,PTGS2,4
dysmenorrhea,MEFENAMIC ACID,4,n/a,PTGS2,4
migraine disorder,IBUPROFEN,4,n/a,PTGS2,4
Ischemic stroke,ASPIRIN,4,Completed,PTGS2,4
influenza infection,ACETAMINOPHEN,4,n/a,PTGS2,3
rheumatoid arthritis,ETORICOXIB,3,Completed,PTGS2,3
fever,ACETAMINOPHEN,4,n/a,PTGS2,3
rheumatoid arthritis,FLURBIPROFEN,1,Completed,PTGS2,3
prostate carcinoma,CELECOXIB,2,Completed,PTGS2,3
rheumatoid arthritis,IBUPROFEN,4,Completed,PTGS2,3
cataract,KETOROLAC,3,Completed,PTGS2,3
fever,ASPIRIN,4,n/a,PTGS2,3
osteoarthritis,NAPROXEN,2,Terminated,PTGS2,3
atrial fibrillation,ASPIRIN,4,Recruiting,PTGS2,3
fever,IBUPROFEN,4,Unknown status,PTGS2,3
Venous thrombosis,ASPIRIN,1,Completed,PTGS2,3
cardiovascular disease,ASPIRIN,1,Completed,PTGS2,3
pain,CELECOXIB,1,Completed,PTGS2,3
osteoarthritis,ETORICOXIB,2,Completed,PTGS2,3
osteoarthritis,CELECOXIB,4,Unknown status,PTGS2,3
brain infarction,ASPIRIN,3,Completed,PTGS2,3
"osteoarthritis, knee",CELECOXIB,3,Completed,PTGS2,3
osteoarthritis,ROFECOXIB,3,Completed,PTGS2,3
"osteoarthritis, knee",DICLOFENAC,3,Completed,PTGS2,3
osteoarthritis,NAPROXEN,4,Completed,PTGS2,3
peripheral arterial disease,ASPIRIN,4,Completed,PTGS2,3
inflammation,DICLOFENAC,1,Completed,PTGS2,3
"osteoarthritis, knee",KETOPROFEN,3,Completed,PTGS2,3
osteoarthritis,IBUPROFEN,3,Completed,PTGS2,3
gastric ulcer,NAPROXEN,3,Completed,PTGS2,3
acute coronary syndrome,ASPIRIN,3,Completed,PTGS2,3
ankylosing spondylitis,NAPROXEN,3,Completed,PTGS2,3
hypertension,ASPIRIN,4,Completed,PTGS2,3
pain,DICLOFENAC,4,Terminated,PTGS2,3
ankylosing spondylitis,NAPROXEN,4,n/a,PTGS2,3
rheumatoid arthritis,CELECOXIB,4,Completed,PTGS2,3
HIV-1 infection,ASPIRIN,2,Completed,PTGS2,3
pain,LUMIRACOXIB,4,Completed,PTGS2,3
pain,ACETAMINOPHEN,3,Unknown status,PTGS2,3
migraine disorder,ASPIRIN,3,Completed,PTGS2,3
pain,IBUPROFEN,2,Terminated,PTGS2,3
non-small cell lung carcinoma,CELECOXIB,2,Completed,PTGS2,3
common cold,ACETAMINOPHEN,4,n/a,PTGS2,3
neoplasm,CELECOXIB,1,Completed,PTGS2,3
pain,KETOROLAC,4,Unknown status,PTGS2,3
pain,FLURBIPROFEN,4,Completed,PTGS2,3
colon carcinoma,ASPIRIN,3,Recruiting,PTGS2,3
Patent ductus arteriosus,ACETAMINOPHEN,2,Unknown status,PTGS2,3
juvenile idiopathic arthritis,NAPROXEN,3,Completed,PTGS2,3
coronary artery disease,ASPIRIN,4,Recruiting,PTGS2,3
stroke,ASPIRIN,3,Terminated,PTGS2,3
stroke,ASPIRIN,3,Recruiting,PTGS2,3
juvenile idiopathic arthritis,SULFASALAZINE,4,n/a,PTGS2,3
fever,ACETAMINOPHEN,4,Terminated,PTGS2,3
colorectal carcinoma,ASPIRIN,3,Recruiting,PTGS2,3
pain,IBUPROFEN,2,Recruiting,PTGS2,3
type II diabetes mellitus,ASPIRIN,4,Unknown status,PTGS2,3
type II diabetes mellitus,ASPIRIN,3,Completed,PTGS2,3
pain,ACETAMINOPHEN,4,Withdrawn,PTGS2,3
migraine disorder,ACETAMINOPHEN,3,Completed,PTGS2,3
rheumatoid arthritis,SULFASALAZINE,4,Recruiting,PTGS2,3
central nervous system cancer,CELECOXIB,2,Completed,PTGS2,3
rheumatoid arthritis,SULFASALAZINE,4,n/a,PTGS2,3
ulcerative colitis,MESALAMINE,1,Completed,PTGS2,3
pain,NAPROXEN,4,Unknown status,PTGS2,3
migraine disorder,ACETAMINOPHEN,4,Completed,PTGS2,3
digestive system disease,ASPIRIN,1,Completed,PTGS2,2
dysmenorrhea,ETORICOXIB,3,Completed,PTGS2,2
preeclampsia,ASPIRIN,3,Completed,PTGS2,2
osteoarthritis,NAPROXCINOD,3,Completed,PTGS2,2
pain,CELECOXIB,4,Withdrawn,PTGS2,2
pain,INDOMETHACIN,2,Completed,PTGS2,2
bladder carcinoma,CELECOXIB,2,Completed,PTGS2,2
colorectal carcinoma,CELECOXIB,3,Completed,PTGS2,2
osteoarthritis,VALDECOXIB,3,Completed,PTGS2,2
"osteoarthritis, hip",CELECOXIB,4,Completed,PTGS2,2
prostate carcinoma,CELECOXIB,2,Terminated,PTGS2,2
pain,INDOMETHACIN,3,Completed,PTGS2,2
gout,NAPROXEN,4,Completed,PTGS2,2
coronary artery disease,ASPIRIN,4,Enrolling by invitation,PTGS2,2
prostate carcinoma,CELECOXIB,2,Unknown status,PTGS2,2
bipolar disorder,CELECOXIB,3,Recruiting,PTGS2,2
pain,DEXKETOPROFEN,3,Completed,PTGS2,2
pain,FLURBIPROFEN,4,Unknown status,PTGS2,2
preeclampsia,ASPIRIN,3,Unknown status,PTGS2,2
dysmenorrhea,IBUPROFEN,3,Terminated,PTGS2,2
pain,IBUPROFEN,3,Recruiting,PTGS2,2
